Designator,Mid X,Mid Y,Rotation,Layer
C1,0.0,0.0,357.1303621780063,bottom
C10,-18.8014,-28.1775,206.9773042495242,bottom
C11,-13.6278,-30.811,81.45794240585039,bottom
C12,-14.4663,-25.2285,86.78713945694912,bottom
C13,-14.7629,-19.9447,206.97718491572147,bottom
C14,-10.3081,-22.2123,260.0933755630407,bottom
C15,-9.3926,-27.4543,258.31991747970386,bottom
C16,-8.224299,-33.1057,319.722618712433,bottom
C17,-12.4604,-36.6953,255.83669221568326,bottom
C18,-10.9779,-42.5699,252.60845438766046,bottom
C19,-9.2489,-48.09,138.6759681094456,bottom
C2,-6.0846,-0.305,351.9047524364969,bottom
C20,-5.2277,-44.5543,74.26057418047677,bottom
C21,-6.8177,-38.9126,197.40378783360705,bottom
C22,-0.9977,-40.7369,74.87651018771093,bottom
C23,-2.5804,-34.8807,76.02803532263432,bottom
C24,-4.0315,-29.0485,77.08340281529627,bottom
C25,-5.2939,-23.5439,75.06956385998181,bottom
C26,-6.6509,-18.4548,189.10178063198958,bottom
C27,-1.4451,-19.2888,252.89219729990134,bottom
C28,0.2157,-24.6847,254.71764970430434,bottom
C29,1.7916,-30.4522,254.49748712623233,bottom
C3,-12.2068,-1.1758,347.2106250861901,bottom
C30,3.454,-36.4456,134.22443066666784,bottom
C31,7.9538,-31.8223,73.10003852078985,bottom
C32,6.1559,-25.9047,71.38775423664106,bottom
C33,4.2609,-20.2778,190.6128172826661,bottom
C34,10.2307,-21.3964,250.77114720883037,bottom
C35,12.2346,-27.1415,252.4599971795351,bottom
C36,14.1078,-33.0681,312.832626983092,bottom
C37,9.6931,-37.8301,315.63423539107623,bottom
C38,5.1081,-42.3147,318.50154353206284,bottom
C39,0.6311,-46.2754,320.461379938798,bottom
C4,-18.061,-2.5047,341.39334575939887,bottom
C40,-3.5418,-49.72,249.3509748381669,bottom
C41,-1.8581,-54.1878,246.5040564991229,bottom
C42,-0.260299,-57.8632,147.55218512190712,bottom
C43,3.6737,-55.362,70.63775499993922,bottom
C44,2.2135,-51.2068,191.44360462390839,bottom
C45,8.022,-52.3826,73.69854746811656,bottom
C46,6.6558,-47.711,137.97961238096315,bottom
C47,11.2621,-43.5605,134.22443066666784,bottom
C48,15.7619,-38.9372,130.55605217617367,bottom
C49,19.8881,-34.1156,72.87662868788746,bottom
C5,-23.3713,-4.2925,228.84187539131898,bottom
C50,18.1036,-28.3234,71.13801685939066,bottom
C51,16.1462,-22.5939,192.33643250936026,bottom
C52,21.6816,-23.8045,129.18658463880791,bottom
C53,25.1795,-19.5136,14.373375274323791,bottom
C54,19.8849,-18.1568,12.386681186975721,bottom
C55,14.0339,-16.8718,10.534008200486198,bottom
C56,7.9372,-15.7381,8.804504006387589,bottom
C57,1.9458,-14.8101,7.190147106698447,bottom
C58,-3.6402,-14.1054,2.644201279542358,bottom
C59,-8.8456,-13.865,349.5928076123671,bottom
C6,-20.3472,-7.752,285.8631096723707,bottom
C60,-13.8591,-14.7858,46.87579721711842,bottom
C61,-17.1093,-11.3155,112.89852866702144,bottom
C62,-14.9523,-6.2088,229.84927508081304,bottom
C63,-11.7906,-9.9567,118.91282920827294,bottom
C64,-9.1299,-5.1394,235.07222531799974,bottom
C65,-6.2143,-9.3145,122.36803264766507,bottom
C66,-3.2314,-4.6084,241.65059047033597,bottom
C67,-0.603,-9.4798,186.0847373068627,bottom
C68,5.3548,-10.1149,63.524268089666606,bottom
C69,2.6946,-4.7737,185.9426126888614,bottom
C7,-21.9524,-13.4009,224.66293082188344,bottom
C70,8.8901,-5.4186,244.4452404837991,bottom
C71,11.5904,-11.066,191.44415294025544,bottom
C72,17.7444,-12.3118,194.41240508393557,bottom
C73,23.4513,-13.7784,126.98609115641119,bottom
C74,26.59,-9.6111,67.10214700418013,bottom
C75,24.1897,-3.9282,306.9177532114861,bottom
C76,21.198,-7.9102,13.404393995446554,bottom
C77,15.1862,-6.4775,128.1561459166719,bottom
C78,18.4977,-2.2627,11.444152940255435,bottom
C79,12.3437,-1.016899,6.862110666549,bottom
C8,-18.4815,-16.8312,275.93521064657693,bottom
C80,6.0932,-0.2647,6.862110666549,bottom
C9,-19.0736,-22.5266,267.24223298268134,bottom
D1,0.0,0.0,182.86963782199373,top
D10,-18.8014,-28.1775,333.0226957504758,top
D11,-13.6278,-30.811,98.54205759414961,top
D12,-14.4663,-25.2285,93.21286054305088,top
D13,-14.7629,-19.9447,333.02281508427853,top
D14,-10.3081,-22.2123,279.9066244369593,top
D15,-9.3926,-27.4543,281.68008252029614,top
D16,-8.224299,-33.1057,220.27738128756698,top
D17,-12.4604,-36.6953,284.16330778431677,top
D18,-10.9779,-42.5699,287.39154561233954,top
D19,-9.2489,-48.09,41.324031890554416,top
D2,-6.0846,-0.305,188.09524756350308,top
D20,-5.2277,-44.5543,105.73942581952323,top
D21,-6.8177,-38.9126,342.59621216639295,top
D22,-0.9977,-40.7369,105.12348981228907,top
D23,-2.5804,-34.8807,103.97196467736568,top
D24,-4.0315,-29.0485,102.91659718470373,top
D25,-5.2939,-23.5439,104.93043614001819,top
D26,-6.6509,-18.4548,350.8982193680104,top
D27,-1.4451,-19.2888,287.10780270009866,top
D28,0.2157,-24.6847,285.28235029569566,top
D29,1.7916,-30.4522,285.50251287376767,top
D3,-12.2068,-1.1758,192.78937491380992,top
D30,3.454,-36.4456,45.775569333332164,top
D31,7.9538,-31.8223,106.89996147921015,top
D32,6.1559,-25.9047,108.61224576335894,top
D33,4.2609,-20.2778,349.38718271733387,top
D34,10.2307,-21.3964,289.22885279116963,top
D35,12.2346,-27.1415,287.5400028204649,top
D36,14.1078,-33.0681,227.16737301690802,top
D37,9.6931,-37.8301,224.36576460892374,top
D38,5.1081,-42.3147,221.49845646793716,top
D39,0.6311,-46.2754,219.53862006120198,top
D4,-18.061,-2.5047,198.60665424060113,top
D40,-3.5418,-49.72,290.6490251618331,top
D41,-1.8581,-54.1878,293.4959435008771,top
D42,-0.260299,-57.8632,32.447814878092885,top
D43,3.6737,-55.362,109.36224500006078,top
D44,2.2135,-51.2068,348.5563953760916,top
D45,8.022,-52.3826,106.30145253188344,top
D46,6.6558,-47.711,42.02038761903684,top
D47,11.2621,-43.5605,45.775569333332164,top
D48,15.7619,-38.9372,49.44394782382634,top
D49,19.8881,-34.1156,107.12337131211254,top
D5,-23.3713,-4.2925,311.158124608681,top
D50,18.1036,-28.3234,108.86198314060934,top
D51,16.1462,-22.5939,347.66356749063976,top
D52,21.6816,-23.8045,50.81341536119209,top
D53,25.1795,-19.5136,165.6266247256762,top
D54,19.8849,-18.1568,167.61331881302428,top
D55,14.0339,-16.8718,169.4659917995138,top
D56,7.9372,-15.7381,171.1954959936124,top
D57,1.9458,-14.8101,172.80985289330155,top
D58,-3.6402,-14.1054,177.35579872045764,top
D59,-8.8456,-13.865,190.40719238763288,top
D6,-20.3472,-7.752,254.1368903276293,top
D60,-13.8591,-14.7858,133.12420278288158,top
D61,-17.1093,-11.3155,67.10147133297856,top
D62,-14.9523,-6.2088,310.1507249191869,top
D63,-11.7906,-9.9567,61.08717079172706,top
D64,-9.1299,-5.1394,304.92777468200023,top
D65,-6.2143,-9.3145,57.63196735233492,top
D66,-3.2314,-4.6084,298.34940952966406,top
D67,-0.603,-9.4798,353.9152626931373,top
D68,5.3548,-10.1149,116.4757319103334,top
D69,2.6946,-4.7737,354.0573873111386,top
D7,-21.9524,-13.4009,315.33706917811656,top
D70,8.8901,-5.4186,295.5547595162009,top
D71,11.5904,-11.066,348.55584705974456,top
D72,17.7444,-12.3118,345.5875949160644,top
D73,23.4513,-13.7784,53.0139088435888,top
D74,26.59,-9.6111,112.89785299581987,top
D75,24.1897,-3.9282,233.08224678851388,top
D76,21.198,-7.9102,166.59560600455345,top
D77,15.1862,-6.4775,51.84385408332811,top
D78,18.4977,-2.2627,168.55584705974456,top
D79,12.3437,-1.016899,173.137889333451,top
D8,-18.4815,-16.8312,264.06478935342307,top
D80,6.0932,-0.2647,173.137889333451,top
D9,-19.0736,-22.5266,272.75776701731866,top
J1,-0.5866,14.9885,92.24165440617799,top
J2,9.4279,14.3599,77.15459085008743,top
